business_name,business_distance,business_lanlot
Kampong Kravers (M) Sdn Bhd,3.31 km,"3.065443, 101.604451"
Cambio Group Sdn. Bhd.,3.96 km,"3.040212, 101.619099"
Total Reach Marketing Sdn Bhd,1.77 km,"3.088717, 101.632212"
Trendcell Sdn Bhd - Sunway Geo 2,2.87 km,"3.065067, 101.608662"
Jian Rong Herbs & Groceries Trading,3.16 km,"3.046196, 101.623349"
STSS Concepts Sdn Bhd,3.66 km,"3.079907, 101.665521"
Heng Hong Trading,4.2 km,"3.060877, 101.669227"
Syed Food Industry Sdn.bhd.,2.14 km,"3.090366, 101.625481"
Arokya Health & Herbs Marketing,1.88 km,"3.086933, 101.623957"
Koong Wohtong Sdn Bhd,4.63 km,"3.060645, 101.593502"
Pemborong & Peruncit Lavanis,3.65 km,"3.069416, 101.600649"
Wellcome Seafood Sdn. Bhd.,2.42 km,"3.076131, 101.611846"
All About Fresh Produce Sdn. Bhd.,2.36 km,"3.086955, 101.649139"
STSS Concepts Sdn Bhd,2.94 km,"3.072855, 101.606890"
Bio Soft Sdn Bhd,1.82 km,"3.056793, 101.629854"
Formosa Spice Sdn Bhd,1.11 km,"3.076039, 101.623916"
Fine Deluxe Sdn Bhd,4.8 km,"3.083362, 101.675218"
Cs Foods Sdn Bhd,4.28 km,"3.109709, 101.622317"
Mastika Food Sdn Bhd,2.87 km,"3.069163, 101.658962"
E&O Food (M) Sdn Bhd,3.08 km,"3.045233, 101.635847"
Trendcell Sdn Bhd - Metro Square PJ,1.23 km,"3.083161, 101.629437"
Trendcell Sdn Bhd - Damen USJ,4.83 km,"3.058136, 101.592393"
First Food Distribution (M) Sdn Bhd,4.76 km,"3.050662, 101.596692"
Unicity Marketing Sdn Bhd,3.88 km,"3.104909, 101.647049"
C & S Frozen Food Sdn Bhd,3.16 km,"3.044376, 101.634365"
Prince Of Peace (M) Sdn Bhd,4.68 km,"3.078707, 101.675106"
Flora Bee Hive Enterprise Sdn Bhd,3.91 km,"3.107307, 101.640020"
Epitna Resources,1.06 km,"3.078190, 101.625502"
Mi Life Enterprise,4.38 km,"3.074930, 101.672771"
Agribiz International Sdn Bhd,4.35 km,"3.068917, 101.594323"
Cha Zhi Ji Sdn Bhd,4.7 km,"3.113275, 101.621187"
Asia Snowflake Group Sdn Bhd,2.64 km,"3.095403, 101.640771"
Trendcell Sdn Bhd - Metro Square PJ,1.24 km,"3.083236, 101.629492"
Trendcell Sdn Bhd - Pearl Shopping Gallery,4.69 km,"3.085402, 101.673630"
Ssk Tasty Food Sdn Bhd,4.64 km,"3.057213, 101.594551"
Qbi Packaging Sdn Bhd,1.5 km,"3.085914, 101.630180"
Ja Italia Food Products Sdn Bhd,2.56 km,"3.082237, 101.612302"
Gasing Store Sdn Bhd,3.17 km,"3.094832, 101.651484"
Macfood Services (M) Sdn Bhd,4.1 km,"3.067641, 101.596772"
K-Long Enterprise Sdn Bhd,1.19 km,"3.062174, 101.634000"
NU Lifestyle Sdn Bhd,4.08 km,"3.109268, 101.637146"
Umi Foods Sdn Bhd,1.76 km,"3.074600, 101.649065"
Oriental Eden Sdn Bhd,3.11 km,"3.044855, 101.633825"
Silver Elegance Sdn Bhd,3.44 km,"3.054552, 101.608348"
Loong Kee Dried Meat Sdn Bhd,3.13 km,"3.071419, 101.605174"
Ideal Food Enterprise,3.5 km,"3.043170, 101.622617"
Crystal Ocean Seafood,4.21 km,"3.046835, 101.605805"
Juice Works Sdn Bhd,2.86 km,"3.072237, 101.607621"
Myice Food Solution Sdn Bhd,1.16 km,"3.062366, 101.634057"
Sub Food Services Sdn Bhd,4.29 km,"3.047699, 101.604031"
Interfin Gourmet Sdn Bhd,4.41 km,"3.111963, 101.639890"
Malaysia Milk Sdn Bhd,4.52 km,"3.113243, 101.628973"
Kedai Lam Loong Sdn Bhd,2.11 km,"3.086559, 101.646432"
Gold Billion Food Supplies,1.2 km,"3.083500, 101.634976"
Herbs Forall (M) Sdn Bhd,3.05 km,"3.072295, 101.605896"
Louis Holdings (M) Sdn Bhd,4.27 km,"3.111166, 101.632431"
RK Mubaraka Sdn Bhd,3.95 km,"3.049417, 101.606597"
Frizz Station,3.9 km,"3.067509, 101.598611"
Nik Siti Zaiha Frozen Trading,0.38 km,"3.075333, 101.635627"
Sang Mark Trading,4.25 km,"3.109494, 101.622627"
Hafoos,1.18 km,"3.081999, 101.628065"
SegiFresh2U.com,4.62 km,"3.095919, 101.598769"
B & C Bakery & Co Sdn Bhd,2.79 km,"3.047800, 101.634800"
Agribiz International Sdn Bhd,4.37 km,"3.066474, 101.594535"
Spice Csl Intl Sdn Bhd,3.84 km,"3.100747, 101.612933"
Fresh Boulevard Sdn Bhd,3.21 km,"3.099293, 101.644858"
Ascent Pharmahealth (M) Sdn Bhd,3.21 km,"3.099293, 101.644858"
Redtick,2.85 km,"3.068524, 101.658604"
Mikuni Food Distribution (M) Sdn Bhd,2.4 km,"3.094365, 101.634350"
TS Universal Trdg Sdn Bhd,2.41 km,"3.094396, 101.631421"
The Lobsterman Homarus Americanus,4.78 km,"3.114266, 101.621811"
Unicity Marketing Sdn Bhd,1.91 km,"3.090012, 101.632821"
Bateel Asia Sdn Bhd,4.68 km,"3.112762, 101.646467"
Purple Cane Enterprise Sdn Bhd,4.65 km,"3.034960, 101.615600"
Quek Khai Kee,4.63 km,"3.085307, 101.673126"
Le Petit Four Sdn Bhd,2.94 km,"3.068760, 101.659520"
Istara Service Apartment,4.23 km,"3.109262, 101.644191"
Ng Tan Chong,2.08 km,"3.087139, 101.645352"
Dong Han Enterprise,4.27 km,"3.073495, 101.671813"
Green Image Organic Enterprise,3.49 km,"3.043288, 101.622557"
Campbell Soup Southeast Asia Sdn Bhd,2.03 km,"3.089745, 101.640176"
Key Indust Minerals Supply Sdn Bhd,3.15 km,"3.074711, 101.661669"
Snow Foods Sdn Bhd,3.73 km,"3.104028, 101.645620"
Hua Foong Trading Sdn Bhd,0.4 km,"3.074820, 101.636283"
Tong Lim Fat,2.19 km,"3.073537, 101.653034"
Hudson Malaysia Sdn Bhd,2.62 km,"3.093542, 101.622070"
Ramachandran Ramaswani,2.08 km,"3.087124, 101.645456"
Campbell Cheong Chan (M) Sdn Bhd,1.67 km,"3.085014, 101.642063"
Haja Haliq Sykt,3.31 km,"3.095388, 101.652758"
Quah Ooi Chong,4.63 km,"3.085307, 101.673126"
Plus More Sdn Bhd,4.75 km,"3.077713, 101.675842"
Glow-San Sdn Bhd,0.04 km,"3.072996, 101.633616"
PTC-Nakajima Suisan (M) Sdn Bhd,2.47 km,"3.078488, 101.611848"
O Abdul Majeed,2.68 km,"3.090576, 101.649679"
Alliance Bank Malaysia Berhad,4.9 km,"3.116343, 101.640271"
Naam Solution Sdn Bhd,2.86 km,"3.090524, 101.614651"
Cimb Bank Berhad,2.46 km,"3.093880, 101.640151"
Hong Leong Bank Berhad,2 km,"3.066180, 101.650117"
Hong Leong Bank Berhad,2 km,"3.090170, 101.628467"
Hong Leong Bank Berhad,3.92 km,"3.107021, 101.624856"
Cimb Bank Berhad Jaya Fourteen Shopping Complex,4.06 km,"3.109110, 101.637092"
Standard Chartered Bank Malaysia Berhad,3.34 km,"3.100061, 101.646022"
Bank Islam Malaysia Berhad,3.13 km,"3.099003, 101.643571"
Bank Islam Malaysia Berhad,4.29 km,"3.111408, 101.634083"
Bank Islam Malaysia Berhad,4.9 km,"3.101896, 101.600192"
Amtel Holdings Bhd,1.99 km,"3.073630, 101.615400"
hong leong bank berhad - coc,1.95 km,"3.089621, 101.628192"
Hong Leong Bank Bukit Jalil,4.66 km,"3.059861, 101.673231"
Hong Leong Bank Jalan Mega Mendung,4.38 km,"3.083162, 101.671435"
Hong Leong Bank Jalan Kelang Lama,4.42 km,"3.084488, 101.671436"
