business_name,business_distance(KM),business_lat,business_lon
Malayan Banking Berhad,1.01,3.126771,101.677433
Malayan Banking Berhad,1.01,3.126771,101.677433
United Overseas Bank (malaysia) Bhd,0.69,3.12818238,101.6749107
Hong Leong Bank Berhad,0.26,3.1339,101.670341
Standard Chartered Bank Malaysia Berhad,0.25,3.133833,101.67033
Rhb Bank Bhd,2.42,3.11028,101.665577
ATM Hong Leong Bank Bangsar Village,0.26,3.129565,101.670853
Hong Leong Bank Lucky Garden,0.42,3.127909,101.669616
Hong Leong Bank Bangsar Baru,0.15,3.131423,101.671093
ATM HSBC Bank Bangsar Shopping Centre,5.22,3.084829,101.673342
"CIMB Bank Berhad Lucky Garden, Bangsar",0.35,3.128517,101.670396
CIMB Bank Berhad Bangsar South,2.27,3.11135,101.667746
AmBank (M) Berhad Bangsar Baru,0.15,3.130926,101.670931
Alliance Bank Bangsar ,0.21,3.13284,101.671194
"ATM Al Rajhi Bank Bangsar Village II, Kuala Lumpur",0.23,3.130274,101.671321
Al Rajhi Bank Bangsar Affluent Branch,1.28,3.142955,101.667437
Al Rajhi Bank Bangsar ,0.16,3.132762,101.670607
AFFINBANK Bangsar,0.18,3.132434,101.67122
"Aeon Co (M) Bhd - (The Sphere Avenue 1, Bangsar)",2.34,3.11076,101.66736
KK Super Mart (Bangsar Utama),1.02,3.1279024,101.678115
FamilyMart (The Sphere),2.33,3.110827,101.667786
Bakhache Luxuries (M) Sdn Bhd (Bangsar Shopping Centre),1.38,3.143797,101.667044
Amercare Sdn Bhd,0.26,3.129626,101.670946
99 Speed Mart (Jalan Bangsar),1.18,3.12303,101.675961
Asia Gemological Laboratory Sdn Bhd,1.06,3.128099,101.678678
Pictures Talk,1.22,3.122143,101.675253
Mahogany Music Sdn Bhd,0.18,3.132721,101.670941
Lovinmybags Sdn Bhd,0.21,3.130684,101.671435
Time Pacific Watch Sdn Bhd,1.32,3.143238,101.667367
7-Eleven (Telawi 4 Bangsar),0.2,3.131527,101.671587
7-Eleven (Telawi 5 Bangsar),0.28,3.13297,101.67193
7-Eleven (Village Bangsar South),2.45,3.110909,101.662323
7-Eleven (Jalan Bangsar),3.02,3.104601,101.666888
Mynews Retail Sdn Bhd,2.47,3.110308,101.663472
Mynews Retail Sdn Bhd,2.46,3.109816,101.666128
KK Supermart & Superstore Sdn Bhd,1,3.12808,101.67801
GCH Retail (M) Sdn Bhd,1.31,3.143167,101.667381
Fravi Sdn Bhd,0.25,3.129738,101.671006
